CODIGO;DENOMINACION;GRUPO_CODIGO;GRUPO_NOMBRE;SECCION_CODIGO;SECCION_NOMBRE;SUBSECCION_CODIGO;SUBSECCION_NOMBRE;SITUACION
27071;"Escición parcial de ala del ilion, sínfisis del pubis o trocanter mayor del fémur (craterización, saucerización) (p. ej. osteomielitis o absceso óseo); profunda (subfascial o intramuscular)";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27075;"Resección radical de tumor o infección; ala del ilion, una rama del isquion o del pubis, o sínfisis del pubis";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27076;"Resección radical de tumor o infección; ilion, incluyendo acetábulo, ambas ramás del pubis, o isquion y acetábulo";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27077;"Resección radical de tumor o infección; hueso innominado coxal, total";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27078;"Resección radical de tumor o infección; tuberosidad isquial isquiática, y trocánter mayor del fémur";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27079;"Resección radical de tumor o infección; tuberosidad isquiática y trocánter mayor del fémur, con colgajos cutáneos";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27080;Coccigectomía, primaria;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27086;"Extirpación de cuerpo extraño, pelvis o cadera; tejido subcutáneo";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27087;"Extirpación de cuerpo extraño, pelvis o cadera; profundo, subfascial o intramuscular";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27090;"Remoción de prótesis de cadera; (procedimiento separado)";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27091;"Remoción de prótesis de cadera; con complicaciones, incluyendo prótesis de cadera total metilmetacrilato, con o sin inserción de espaciador";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27093;"Procedimiento de inyección para artrografía de cadera; sin anestesia";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
27095;"Procedimiento de inyección para artrografía de cadera; con anestesia";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
