CO_CODUPS;DE_NOMBREUPS;TABLA_D1_SETI IPRESS;TABLA_G_SETIIPRESS;TABLA_I_SETIIPRESS
140300;MEDICINA NUCLEAR -TOMOGRAFÍA POR EMISIÓN DE FOTÓN ÚNICO (SPECT)-;0;1;1
140400;MEDICINA NUCLEAR -TOMOGRAFÍA POR EMISIÓN DE POSITRONES (PET)-;0;1;1
150000;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO);0;1;1
150100;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-BIOQUÍMICA Y URIANÁLISIS-;0;1;1
150200;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-ENDOCRINOLOGÍA-;0;1;1
150300;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-HEMATOLOGÍA -;0;1;1
150400;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-iINMULOGÍA;0;1;1
150500;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-INMUNOLOGÍA -;0;1;1
150600;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-LABORATORIO DE EMERGENCIA-;0;1;1
150700;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-LABORATORIO DE INFERTILIDAD-;0;1;1
150800;PATOLOGÍA CLÍNICA (LABORATORIO CLÍNICO)-MICROBIOLOGÍA Y PARASITOLOGÍA-;0;1;1
150900;PATOLOGIA CLINICA NEUROPATOLOGIA ;0;1;1
150901;PATOLOGIA CLINICA PATOLOGIA CLINICA NEUROGENETICA;0;1;1
160000;OTROS PROCEDIMIENTOS DIAGNÓSTICOS Y TERAPÉUTICOS;0;1;1
160100;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-CARDIOVASCULAR-;0;1;1
160200;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-GINECOLÓGICAS -;0;1;1
160300;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-NEUMOLÓGICOS-;0;1;1
160400;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-NEUROLÓGICOS -;0;1;1
160500;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-OFTALMOLÓGICOS (CAMPIMETRÍA, FONDO DE OJO, OTROS)-;0;1;1
160600;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-OTORRINOLARINGOLOGÍA-;0;1;1
160700;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS-TRAUMATOLÓGICOS-;0;1;1
160800;OTROS PROCED. DIAGNÓSTICOS Y TERAPÉUTICOS- REHABILITACION EN SALUD MENTAL;0;1;1
160801;REHAB. EN SALUD MENTAL-TERAPIA PSICOLÓGICA INDIVIDUAL NIÑO / ADOLESCENTE;0;1;1
160802;REHAB. EN SALUD MENTAL-TERAPIA PSICOLÓGICA INDIVIDUAL ADULTO / GERONTE;0;1;1
